-1	As a kid, my friends and I all believed that Gymkata was the most violent, bloody movie ever made. I'm not sure who started that rumor. It was probably born out of the 10 10 frustration of 10 year olds who weren't allowed to see it for one reason or other. Years after Gymkata was released, it became a perennial late night cable movie, and as a result, I've been able to make up for lost time. I must have seen scenes from this dreadful excuse for a film over a dozen times, and I can always spot it from 1-2 seconds of screen time. However, aside from the forced coupling of gymnastics and martial arts, the bad dubbing, the stiff dialog, and the outrageously difficult story-line, the film has some things going for it. With all that's bad about the movie visually, the sound is actually pretty entertaining. Never before has a punch or kick landed with so little force and so much volume! The canned kung-fu sounds are cheeky, but the slowed and pitched-down music, and the nearly 5 minute slow motion scene are truly weird. The chase through the city of demented, blood-thirsty villagers isn't really tense as much as it is irritating, and there are enough bad wigs and extras who all but look into the camera and wave to make this train-wreck a little fun. Could it be headed for cult-classic status? Where is MST3K when we need it? #EOF
+1	Everybody's got bills to pay, and that includes Christopher Walken.<br /><br />In Vietnam, a group a soldiers discover that the war is over and are heading back home when they spot a bunch of POWs, including Christopher Walken. Following a Mad Max 3 (!) Thunderdome fight, and a short massacre later. Walken and some Colombian guy split a dollar bill promising something or other.<br /><br />Cut to the present (1991), and Colombian guy is leading a revolution against El Presidente. He's successful at first, but after El Presidente threatens to crush folks with a tank, he's forced to surrender and is shot in the head on live television. This is shown in full gory detail as a news flash on American telly, which leads Walken to assemble the old squad (even though he wasn't actually part of that squad to begin with), in order to invade Colombia and gun down thousands of people.<br /><br />McBain is a monumentally stupid film, but for all that it's also a good laugh, and action packed too. This is one of those movies where logic is given a wide berth - how else could Walken shoot a fighter pilot in the head from another plane without suffering from decompression, or even breaking a window? Also, it seems that these guys can gun down scores of drug dealers in New York without the police bothering.<br /><br />There's plenty of b-movie madness to chew on here, from Michael Ironside's diabolical acting in the Vietnam sequence, to the heroic but entirely pointless death of one of the heroes, to the side splitting confrontation between Walken and El Presidente, and let's not forget the impassioned speech by the sister of the rebel leader, being watched on television in America (nearly brought a brown tear to my nether-eye, that bit).<br /><br />It's out there for a quid. Buy it if you have a sense of humour. See how many times you can spot the camera crew too. #EOF
-1	I am a big fan of low budget horror movies like this, but come on! This has to be the worst piece of monkey S@#t I have ever seen! I ignored the reviews posted on this site figuring that it would fall into my taste in horror, but I got bored and turned it off.Let's see:<br /><br />The wardrobe: Consisted of cheap cameo outfits and painters outfits from home depot. The masks were made from what looks like tin foil. <br /><br />The Gore: The Gore was pretty good, I must give it that. But Ittenbach's Burning moon was better for a low budget movie. <br /><br />Acting: Was horrible! I didn't mind the dubbing. I find this humorous like in Ittenbach's "Premutos" (great movie). The fighting and action sequences were pi$$ poor.<br /><br />Bottom line: Don't watch any of Schnaas's movies. There are much better directors like Jorg Buttergeit and Olaf Ittenbach with movies of the same gore and subject matter. Check Premutos, House of blood, Schramm and the nekromantiks. #EOF
+1	Some of those guys that watch films and complain about them for a living are forgetting something: DVD menu system. I tell you the people, I watched the main screen repeat in this one about 35 times. It was awesome. A cinematic tapestry of cascading brilliance that had me from where it was, which was the very beginning. Many times the sum and Bam! I was hooked. Over and over and over. And over.<br /><br />"Doot de doot, de doo de dodedo." And that's just the soundtrack! <br /><br />I is laid aside in the bed, curled up with my Vaio. The rain is in the flat roof and tonight soft is again soft. The cat is comfortable and my ankle which crosses in me, is already rested. I popped in the DVD. I was mesmerized. Through the night. "doot de doot, de doo de dodedo."<br /><br />The Blob. See it. Steve Queen, two cops, and one girl in a dress. Two thumbs way up! #EOF
+1	Why this movie has all but disappeared into obscurity is an absolute crime. "Conan" is perhaps the only Sword and Sorcery movie better. The brutal violence, cool character designs, and good pacing, make this one of the best fantasies around. It is certainly the greatest animated movie aimed at a more adult audience that I have ever seen. This is not similar to Bakshi's usual frenetic style. It's quite a departure for Bakshi, and in my opinion his best work. I hope that this film gets the recognition it deserves. #EOF
-1	I did watch all of the film through to the disgraceful ending even though I felt so angry at what I saw. I felt that the director was screaming for attention and the only way he could achieve this was to be as repulsive as possible. Since I have lived in the UK I have come to love this country but this film depicts British young people in the worst way imaginable. There is nothing to be said but avoid it, it will make you angry and sick. The people involved should be ashamed. #EOF
-1	Original Claymation Rudolph: Pretty good. Original Frosty cartoon: Needs a little work, but could be worse. But Frosty and Rudolph together on the Fourth of July? C'mon! Give me a BREAK!!! This was one movie that shouldn't have been made. It was bad. It didn't really go for any holiday in particular, except July 4. That made it especially bad since Frosty and Rudolph are usually associated with the Christmas season. And any movie can be ruined by too much singing. The frequent songs made this movie seem a lot longer than it really was. The movie tried mixing two familiar Chirstmastime characters with an American traditional holiday (which almost seems to "limit" it to America), too many pointless songs, and a lousy plotline. The result? A bad movie that can't really be watched at any time of year. I would suggest you forgo this movie even if you like Frosty and Rudolph. #EOF
-1	They screwed up this story! In the end Nell is all heroic and taking on for the team to save all their asses from Hill House and a bunch of nonsense like that! They added heads getting chopped, wires cutting peoples faces, and the ceiling turning into a giant hand! What the hell is that about??? I own and love the original movie, I read the book and I love it! The reason why the original movie and the book are so great is because it scares you so much without even showing the ghost. There is no gore. There is no ceiling hand. It is only the ghost ad how ghosts can truly kill a person. They cannot kill us, they cannot throw us about the room or fly a knife into our head. No. They can only drive us mad. Taking away all our senses of security. Nell was a selfish woman. She only wanted good things for herself. Yes, she cared a little for the others, but not too much. David Self and Jan de Bont have taken a crap on this great story! I hate this damn remake! #EOF
+1	The movie was excellent, save for some of the scenes with Esposito. I enjoyed how it brought together every detective on the series, and wrapped up some plotlines that were never resolved during the series (thanks to NBC...). It was great to see Pembleton and Bayliss together at their most human, and most basic persons. Braugher and Secor did a great job, but as usual will get overlooked. It hurt to see that this was the end of Homicide. Memories, tapes, and reruns on CourtTV just aren't the same as watching it come on every Friday. But the movie did its job and did it very well, presenting a great depiction of life after Al retired, and the family relationship that existed between the unit. I enjoyed this a lot. #EOF
-1	Other than the great cinematography by the marvelous James Wong Howe in the battle scenes, this film is a true stinker.<br /><br />This is the second film that I've seen in recent days directed by Alexander Korda. The first was Charles Laughton's "Rembrandt." It was so lousy that I shut it off. This one I'm afraid is not very much better.<br /><br />Flora Robson is as ugly as ever as Queen Elizabeth. Perhaps, her performance as the virgin Queen was good for 1937 standards but when you compare it to that of a Helen Mirren, it is absolutely no match. In robotic fashion, Robson states her lines. Her battle message to the English troops is so lackluster in spirit.<br /><br />Even a dashing Laurence Olivier can't save this utter piece of boredom.<br /><br />Future wife Vivien Leigh is in a supporting role here and she doesn't really convey anything here. To think, that Scarlett was 2 years later!<br /><br />It's a shame that history with the Spanish Armada is made out to be so boring in this film. #EOF
